Sampling Period,Sampling Location,Radionuclide,Result (pCi/m3),Counting Error (pCi/m3),Minimum Detectable Activity 95% (pCi/m3,Total Effective Dose Equivalent (millirem),NRC Effluent Air Conc. Limit (pCi/m3)
2012Q1,Eureka,Cesium-134,0.0000661,0.0000357,0.000106,0,200
2012Q1,Eureka,Beryllium-7,0.082,0.00226,0.00205,0.000136667,30000
2012Q1,Eureka,Potassium-40,-0.000182,0.000528,0.00251,0,600
2012Q1,Eureka,Niobium-95,0.0000588,0.000112,0.00032,0,2000
2012Q1,Eureka,Zirconium-95,-0.000176,0.000127,0.000327,0,400
2012Q1,Eureka,Ruthenium-103,-0.0000242,0.0000837,0.000243,0,900
2012Q1,Eureka,Ruthenium-106,0.000767,0.000346,0.00105,0,20
2012Q1,Eureka,Cesium-137,0.0000985,0.0000345,0.000109,0,200
2012Q1,Eureka,Cerium-141,0.0000624,0.000159,0.000409,0,800
2012Q1,Eureka,Cerium-144,-0.000208,0.00022,0.000546,0,20
2012Q1,Humboldt Bay,Cesium-134,0.0000404,0.0000316,0.0000918,0,200
2012Q1,Humboldt Bay,Beryllium-7,0.0852,0.0023,0.00172,0.000142,30000
2012Q1,Humboldt Bay,Potassium-40,0.000224,0.000442,0.00207,0,600
2012Q1,Humboldt Bay,Niobium-95,-0.00015,0.000105,0.00027,0,2000
2012Q1,Humboldt Bay,Zirconium-95,-0.0000426,0.0001,0.000272,0,400
2012Q1,Humboldt Bay,Ruthenium-103,0.0000119,0.0000727,0.000214,0,900
2012Q1,Humboldt Bay,Ruthenium-106,0.000268,0.00032,0.000918,0,20
2012Q1,Humboldt Bay,Cesium-137,0.0000182,0.0000327,0.0000929,0,200
2012Q1,Humboldt Bay,Cerium-141,-0.0000493,0.000137,0.000347,0,800
2012Q1,Humboldt Bay,Cerium-144,0.000256,0.000186,0.000487,0,20
2012Q1,"Richmond, CA",Cesium-134,0.0000575,0.0000253,0.000103,0,200
2012Q1,"Richmond, CA",Beryllium-7,0.104,0.00279,0.00216,0.000173333,30000
2012Q1,"Richmond, CA",Potassium-40,0.000421,0.000629,0.00294,0,600
2012Q1,"Richmond, CA",Niobium-95,0.000105,0.000127,0.000352,0,2000
2012Q1,"Richmond, CA",Zirconium-95,-0.0000517,0.000124,0.000327,0,400
2012Q1,"Richmond, CA",Ruthenium-103,-0.000077,0.000101,0.000272,0,900
2012Q1,"Richmond, CA",Ruthenium-106,-0.000163,0.000359,0.000984,0,20
2012Q1,"Richmond, CA",Cesium-137,-0.00000391,0.0000382,0.000106,0,200
2012Q1,"Richmond, CA",Cerium-141,-0.000027,0.000155,0.000469,0,800
2012Q1,"Richmond, CA",Cerium-144,-0.0000206,0.000202,0.000612,0,20
2012Q1,Livermore,Cesium-134,0.000000937,0.0000249,0.000104,0,200
2012Q1,Livermore,Beryllium-7,0.131,0.00344,0.00226,0.000218333,30000
2012Q1,Livermore,Potassium-40,0.00156,0.00053,0.00241,0,600
2012Q1,Livermore,Niobium-95,0.0000496,0.0001,0.000311,0,2000
2012Q1,Livermore,Zirconium-95,-0.0000258,0.000103,0.00031,0,400
2012Q1,Livermore,Ruthenium-103,0.0000454,0.0000899,0.000244,0,900
2012Q1,Livermore,Ruthenium-106,0.000404,0.000343,0.000927,0,20
2012Q1,Livermore,Cesium-137,0.0000133,0.0000351,0.000102,0,200
2012Q1,Livermore,Cerium-141,-0.00025,0.000162,0.000434,0,800
2012Q1,Livermore,Cerium-144,-0.0000539,0.000182,0.000523,0,20
2012Q1,San Luis Obispo,Cesium-134,-0.0000124,0.0000298,0.000124,0,200
2012Q1,San Luis Obispo,Beryllium-7,0.144,0.00385,0.00339,0.00024,30000
